"id","nome","partido"
62881,"Danilo Forte","UNIÃO"
66179,"Norma Ayub","PP"
66828,"Fausto Pinato","PP"
67138,"Iracema Portella","PP"
68720,"Fábio Henrique","UNIÃO"
69871,"Bacelar","PV"
72442,"Felipe Carreras","PSB"
73424,"SIMÃO SESSIM","PP"
73433,"Arlindo Chinaglia","PT"
73434,"ARNALDO FARIA DE SÁ","PP"
73441,"Celso Russomanno","REPUBLICANOS"
73460,"Gustavo Fruet","PDT"
73463,"Osmar Serraglio","PP"
73466,"Rubens Bueno","CIDADANIA"
73482,"Henrique Fontana","PT"
73486,"Pompeo de Mattos","PDT"
73531,"Ivan Valente","PSOL"
73586,"Júlio Delgado","PV"
73604,"Rui Falcão","PT"
73674,"ROBERTO BALESTRA","PP"
73692,"Osmar Terra","MDB"
73696,"Angela Amin","PP"
73701,"Benedita da Silva","PT"
73772,"Hermes Parcianello","MDB"
73788,"Ricardo Barros","PP"
73801,"Renildo Calheiros","PCdoB"
73808,"Sérgio Brito","PSD"
73891,"Darcísio Perondi","MDB"
73943,"Perpétua Almeida","PCdoB"
74010,"VALDIR COLATTO","MDB"
74043,"Wellington Roberto","PL"
74044,"Wilson Santiago","REPUBLICANOS"
74052,"Bosco Costa","PL"
74057,"Alice Portugal","PCdoB"
74060,"Daniel Almeida","PCdoB"
74075,"Elcione Barbalho","MDB"
74079,"José Priante","MDB"
74090,"Átila Lins","PSD"
74141,"Josias Gomes","PT"
74156,"Leonardo Monteiro","PT"
74158,"Mário Heringer","PDT"
74159,"Odair Cunha","PT"
74160,"Patrus Ananias","PT"
74161,"Reginaldo Lopes","PT"
74165,"Neucimar Fraga","PP"
74200,"Gastão Vieira","PROS"
74212,"Aníbal Gomes","UNIÃO"
74253,"Julio Lopes","PP"
74254,"Leonardo Picciani","MDB"
74262,"Carlos Sampaio","PSDB"
74270,"Gilberto Nascimento","PSC"
74273,"Jefferson Campos","PL"
74283,"Vicentinho","PT"
74299,"Leônidas Cristino","PDT"
74305,"Roberto Pessoa","PSDB"
74317,"Júlio Cesar","PSD"
74319,"Paes Landim","UNIÃO"
74352,"Nilson Pinto","PSDB"
74356,"Silas Câmara","REPUBLICANOS"
74366,"João Campos","REPUBLICANOS"
74371,"Rubens Otoni","PT"
