"sigla","nome"
"AVANTE","Avante"
"CIDADANIA","Cidadania"
"DC","Democracia Cristã"
"DEM","Democratas"
"MDB","Movimento Democrático Brasileiro"
"NOVO","Partido Novo"
"PATRI","Patriota"
"PATRIOTA","Patriota"
"PCdoB","Partido Comunista do Brasil"
"PDT","Partido Democrático Trabalhista"
"PHS","Partido Humanista da Solidariedade"
"PL","Partido Liberal"
"PMN","Partido da Mobilização Nacional"
"PODE","Podemos"
"PP","Progressistas"
"PPL","Partido Pátria Livre"
"PPS","Partido Popular Socialista"
"PR","Partido da República"
"PRB","Partido Republicano Brasileiro"
"PROS","Partido Republicano da Ordem Social"
"PRP","Partido Republicano Progressista"
"PSB","Partido Socialista Brasileiro"
"PSC","Partido Social Cristão"
"PSD","Partido Social Democrático"
"PSDB","Partido da Social Democracia Brasileira"
"PSL","Partido Social Liberal"
"PSOL","Partido Socialismo e Liberdade"
"PT","Partido dos Trabalhadores"
"PTB","Partido Trabalhista Brasileiro"
"PTC","Partido Trabalhista Cristão"
"PV","Partido Verde"
"REDE","Rede Sustentabilidade"
"REPUBLICANOS","Republicanos"
"SOLIDARIEDADE","Solidariedade"
"S.PART.","Sem Partido"
"UNIÃO","União Brasil"
